Game_Number,XGID,Move,ND/NDR,DT/RDT,DD/RDD
5,XGID=---cBDD-D----A----acbbbb--:1:-1:1:64:0:0:3:0:8,8/2 6/2,,,
5,XGID=--BcBDC-C----A----acbbbb--:1:-1:-1:61:0:0:3:0:8,22/16 6/5,,,
5,XGID=--BbBDC-Ca---A----abcbbb--:1:-1:1:31:0:0:3:0:8,13/9*,,,
5,XGID=a-BbBDC-CA--------abcbbb--:1:-1:-1:63:0:0:3:0:8,Bar/16*,,,
5,XGID=--BbBDC-Ca--------abcbbb-A:1:-1:1:62:0:0:3:0:8,Cannot Move,,,
5,XGID=--BbBDC-Ca--------abcbbb-A:1:-1:-1:D:0:0:3:0:8,,0.848,0.994,1.0
6,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
6,XGID=-b----E-C---eE---c-e----B-:0:0:1:31:0:0:3:0:8,8/5 6/5,,,
6,XGID=-b---BD-B---eE---c-e----B-:0:0:-1:55:0:0:3:0:8,13/3(2),,,
6,XGID=-b---BD-B---cE---c-e--b-B-:0:0:1:41:0:0:3:0:8,13/9 6/5,,,
6,XGID=-b---CC-BA--cD---c-e--b-B-:0:0:-1:32:0:0:3:0:8,24/22 24/21,,,
6,XGID=---aaCC-BA--cD---c-e--b-B-:0:0:1:43:0:0:3:0:8,13/9 6/3*,,,
6,XGID=a--AaCB-BB--cC---c-e--b-B-:0:0:-1:61:0:0:3:0:8,Bar/24 21/15,,,
6,XGID=-a-A-CB-BBa-cC---c-e--b-B-:0:0:1:61:0:0:3:0:8,9/8 9/3,,,
6,XGID=-a-B-CB-C-a-cC---c-e--b-B-:0:0:-1:53:0:0:3:0:8,15/10 13/10,,,
6,XGID=-a-B-CB-C---bC-b-c-e--b-B-:0:0:1:61:0:0:3:0:8,13/7 8/7,,,
6,XGID=-a-B-CBBB---bB-b-c-e--b-B-:0:0:-1:53:0:0:3:0:8,24/16,,,
6,XGID=---B-CBBBa--bB-b-c-e--b-B-:0:0:1:21:0:0:3:0:8,24/21,,,
6,XGID=---B-CBBBa--bB-b-c-e-Ab-A-:0:0:-1:00:0:0:3:0:8,,0.502,0.419,1.0
6,XGID=---B-CBBBa--bB-b-c-e-Ab-A-:0:0:-1:32:0:0:3:0:8,16/13 8/6,,,
6,XGID=---B-CBBB---cB-b-b-f-Ab-A-:0:0:1:61:0:0:3:0:8,8/2 5/4,,,
